year,iso,apd_eur,napd_eur
2011,KNA,6000000.00,0.00
2011,LBR,77000000.00,0.00
2011,LCA,11000000.00,0.00
2011,LKA,5661000000.00,179000000.00
2011,LSO,50000000.00,0.00
2011,MAR,4690000000.00,92000000.00
2011,MDA,58000000.00,135000000.00
2011,MDG,243000000.00,89000000.00
2011,MDV,43000000.00,0.00
2011,MEX,1390000000.00,3943000000.00
2011,MKD,165000000.00,1000000.00
2011,MLI,54000000.00,15000000.00
2011,MMR,3249000000.00,528000000.00
2011,MNE,47000000.00,184000000.00
2011,MOZ,213000000.00,157000000.00
2011,MRT,110000000.00,50000000.00
2011,MWI,16000000.00,6000000.00
2011,NER,12000000.00,0.00
2011,NGA,0.00,0.00
2011,NIC,119000000.00,132000000.00
2011,NPL,204000000.00,2000000.00
2011,PAK,11102000000.00,3355000000.00
2011,PAN,332000000.00,534000000.00
2011,PER,2081000000.00,299000000.00
2011,PHL,12963000000.00,2277000000.00
2011,PNG,266000000.00,0.00
2011,POL,72000000.00,4995000000.00
2011,ROU,795000000.00,305000000.00
2011,RUS,0.00,0.00
2011,SDN,891000000.00,3151000000.00
2011,SEN,166000000.00,192000000.00
2011,SLE,113000000.00,0.00
2011,SLV,609000000.00,8000000.00
2011,SOM,444000000.00,1015000000.00
2011,SRB,377000000.00,1941000000.00
2011,STP,1000000.00,25000000.00
2011,SUR,22000000.00,12000000.00
2011,SYC,54000000.00,31000000.00
2011,TCD,5000000.00,51000000.00
2011,TGO,0.00,32000000.00
2011,TJK,28000000.00,300000000.00
2011,TTO,4000000.00,128000000.00
2011,TUR,5713000000.00,3213000000.00
2011,TZA,468000000.00,21000000.00
2011,UKR,263000000.00,1307000000.00
2011,VCT,12000000.00,0.00
2011,VNM,12819000000.00,1142000000.00
2011,WSM,21439119.79,0.00
2011,YEM,518000000.00,1212000000.00
2011,ZMB,3000000.00,66000000.00
2012,AFG,0.00,1061000000.00
2012,AGO,150000000.00,187000000.00
2012,ALB,501000000.00,33000000.00
2012,ARG,860000000.00,5639000000.00
2012,ATG,4000000.00,95000000.00
2012,BDI,0.00,0.00
2012,BEN,9000000.00,30000000.00
2012,BFA,130000000.00,0.00
2012,BGR,327000000.00,301000000.00
2012,BIH,232000000.00,521000000.00
2012,BOL,82000000.00,2000000.00
2012,BRA,2057000000.00,1782000000.00
2012,CAF,0.00,4000000.00
2012,CHL,133000000.00,2000000.00
2012,CIV,1336000000.00,542000000.00
2012,CMR,143000000.00,23000000.00
2012,COD,38000000.00,192000000.00
2012,COG,30000000.00,183000000.00
2012,COM,3000000.00,9000000.00
2012,CPV,62000000.00,31000000.00
2012,CRI,254000000.00,0.00
2012,DJI,70000000.00,38000000.00
2012,DMA,20000000.00,10000000.00
2012,DOM,545000000.00,288000000.00
2012,DZA,1048000000.00,9000000.00
2012,ECU,456000000.00,371000000.00
2012,EGY,10306000000.00,4048000000.00
2012,ETH,293000000.00,163000000.00
2012,FJI,15000000.00,0.00
2012,GAB,150000000.00,99000000.00
2012,GEO,343000000.00,108000000.00
2012,GHA,594000000.00,489000000.00
2012,GIN,230000000.00,288000000.00
2012,GMB,2000000.00,1000000.00
2012,GNB,12000000.00,94000000.00
2012,GNQ,0.00,22000000.00
2012,GRD,4000000.00,6000000.00
2012,GTM,289000000.00,0.00
2012,GUY,5000000.00,0.00
2012,HND,160000000.00,2000000.00
2012,HRV,3000000.00,0.00
2012,HTI,0.00,0.00
2012,IDN,28023000000.00,7613000000.00
2012,IRQ,1005000000.00,8861000000.00
2012,JAM,254000000.00,15000000.00
2012,JOR,2036000000.00,136000000.00
2012,KEN,2090000000.00,207000000.00
2012,KGZ,403000000.00,497000000.00
2012,KHM,530000000.00,1404000000.00
2012,KNA,2000000.00,0.00
2012,LBR,0.00,0.00
2012,LCA,10000000.00,0.00
2012,LKA,5283000000.00,218000000.00
2012,LSO,13000000.00,0.00
2012,MAR,4962000000.00,96000000.00
2012,MDA,55000000.00,118000000.00
2012,MDG,216000000.00,89000000.00
2012,MDV,42000000.00,0.00
2012,MEX,1330000000.00,3963000000.00
2012,MKD,153000000.00,0.00
2012,MLI,44000000.00,14000000.00
2012,MMR,2877000000.00,519000000.00
