iso,name_en_wb,wb_status,name_fr_csv,in_apd_dataset
SVK,Slovak Republic,Member State,Slovaquie,True
SVN,Slovenia,Member State,,False
SWE,Sweden,Member State,Suède,True
SWZ,Eswatini,Member State,Eswatini,True
SXM,Sint Maarten (Neth.),Territory,,False
SYC,Seychelles,Member State,Seychelles,True
SYR,Syrian Arab Republic,Member State,Syrie,True
TCA,Turks and Caicos Islands (U.K.),Territory,,False
TCD,Chad,Member State,Tchad,True
TGO,Togo,Member State,Togo,True
THA,Thailand,Member State,Thaïlande,True
TJK,Tajikistan,Member State,Tadjikistan,True
TKL,Tokelau (N.Z.),Territory,,False
TKM,Turkmenistan,Member State,Turkménistan,True
TLS,Timor-Leste,Member State,Timor-Leste,True
TON,Tonga,Member State,,False
TTO,Trinidad and Tobago,Member State,Trinité-et-Tobago,True
TUN,Tunisia,Member State,Tunisie,True
TUR,Türkiye,Member State,Turquie,True
TUV,Tuvalu,Member State,,False
TZA,Tanzania,Member State,Tanzanie,True
UGA,Uganda,Member State,Ouganda,True
UKR,Ukraine,Member State,Ukraine,True
UMI,U.S. Minor Outlying Islands (U.S.),Territory,,False
URY,Uruguay,Member State,Uruguay,True
USA,United States of America,Member State,États-Unis,True
UZB,Uzbekistan,Member State,Ouzbékistan,True
VAT,Vatican City,Non Member State,,False
VCT,Saint Vincent and the Grenadines,Member State,Saint-Vincent-et-les-Grenadines,True
VEN,Republica Bolivariana de Venezuela,Member State,Venezuela,True
VGB,British Virgin Islands (U.K.),Territory,,False
VIR,United States Virgin Islands (U.S.),Territory,,False
VNM,Viet Nam,Member State,Vietnam,True
VUT,Vanuatu,Member State,Vanuatu,True
WLF,Wallis and Futuna (Fr.),Territory,,False
WSM,Samoa,Member State,Samoa,True
XKX,Kosovo,Member State,Kosovo,True
YEM,Republic of Yemen,Member State,Yémen,True
ZAF,South Africa,Member State,Afrique du Sud,True
ZMB,Zambia,Member State,Zambie,True
ZWE,Zimbabwe,Member State,Zimbabwe,True
