iso,country,oda_usd,non_oda_usd,total_usd,type,country_profile
LKA,Sri Lanka,3378034870.77,1192584890.32,4570619761.09,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/sri-lanka.html
LSO,Lesotho,2259825.87,0.00,2259825.87,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/lesotho.html
MAR,Morocco,6391275188.36,302149634.72,6693424823.08,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/maroc.html
MDA,Moldova,364194425.75,14596515.91,378790941.66,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/moldavie.html
MDG,Madagascar,400531827.67,8891592.66,409423420.33,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/madagascar.html
MDV,Maldives,48346569.13,0.00,48346569.13,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/maldives.html
MEX,Mexico,2585215344.03,0.00,2585215344.03,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/mexique.html
MKD,North Macedonia,155376329.02,0.00,155376329.02,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/macedoine-du-nord.html
MLI,Mali,273650337.47,37597450.76,311247788.23,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/mali.html
MMR,Myanmar,4060807756.85,748411534.80,4809219291.65,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/myanmar.html
MNE,Montenegro,109831517.77,30508969.70,140340487.47,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/montenegro.html
MNG,Mongolia,1345000000.00,0.00,1345000000.00,encours,
MOZ,Mozambique,840620518.92,290720467.58,1131340986.50,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/mozambique.html
MRT,Mauritania,78081951.25,49258602.26,127340553.51,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/mauritanie.html
MUS,Mauritius,695000000.00,0.00,695000000.00,encours,
MWI,Malawi,897955.20,0.00,897955.20,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/malawi.html
MYS,Malaysia,967000000.00,0.00,967000000.00,encours,
NAM,Namibia,249000000.00,16000000.00,265000000.00,encours,
